Order,Year,No.,Title,Art,Text,Schedule,Schedule_Name,Link,Part_Number,Part_Title
The Awel y Mor Offshore Wind Farm Order 2023,2023,1033,Arbitration,44,"['Subject to article 36 (saving provisions for Trinity House) any difference under any provision of this Order, unless otherwise provided for, is to be referred to and settled in arbitration in accordance with the rules at Schedule 12 (arbitration rules) of this Order, by a single arbitrator to be agreed upon by the parties, within 14 days of receipt of the notice of arbitration, or if the parties fail to agree within the time period stipulated, to be appointed on application of either party (after giving written notice to the other) by the Secretary of State.', 'For the avoidance of doubt, any matter for which the consent or approval of the Secretary of State is required under any provision of this Order is not subject to arbitration.']",,,https://www.legislation.gov.uk/uksi/2023/1033/article/44/made,,
The Awel y Mor Offshore Wind Farm Order 2023,2023,1033,Time limits,1,['The authorised development must commence no later than the expiration of five years beginning with the date this Order comes into force.'],2,Requirements,https://www.legislation.gov.uk/uksi/2023/1033/schedule/2/made,,
The Awel y Mor Offshore Wind Farm Order 2023,2023,1033,Offshore design parameters,2,"['The wind turbine generators to be constructed or operated as part of the authorised development must be located within the area delineated by the co-ordinates in Table 2 and shown on sheet 2 of the works plan and, subject to any lighting approved under requirement 3, there must be no material difference in the size and appearance of the wind turbine generators.', 'The offshore works must be constructed in accordance with the parameters assessed in the environmental statement and set out in Table 3.', 'Maximum dimensions of offshore substations:', 'Height when measured from MHWS (m)', 'Length (m)', 'Topside area (m2)', '77.3', '80', '4,000']",2,Requirements,https://www.legislation.gov.uk/uksi/2023/1033/schedule/2/made,,
The Awel y Mor Offshore Wind Farm Order 2023,2023,1033,Aviation safety,3,"['The undertaker must exhibit such lights, with such shape, colour and character and at such times as are required by Air Navigation Order 2016 and/or determined necessary for aviation safety in consultation with the Defence Infrastructure Organisation Safeguarding and as directed by the Civil Aviation Authority. Lighting installed specifically to meet Ministry of Defence aviation safety requirements must remain operational for the life of the authorised development unless otherwise agreed with the Ministry of Defence.', 'The undertaker must notify the Defence Infrastructure Organisation Safeguarding, at least 14 days prior to the commencement of the offshore works, of the following-', 'the date of the commencement of construction of the offshore works;', 'the date any wind turbine generators are brought into use;', 'the maximum height of any construction equipment to be used;', 'the maximum heights of any wind turbine generator, meteorological mast and offshore electrical platform to be constructed; and', 'the latitude and longitude of each wind turbine generator, meteorological mast and offshore electrical platform to be constructed; and', 'the Defence Infrastructure Organisation Safeguarding must be notified of any changes to the information supplied under this paragraph and of the completion of the construction of the offshore works.', 'The lights installed in accordance with paragraph (1) will be operated at the lowest permissible lighting intensity level.']",2,Requirements,https://www.legislation.gov.uk/uksi/2023/1033/schedule/2/made,,
The Awel y Mor Offshore Wind Farm Order 2023,2023,1033,Offshore Noise,4,"[""Except in an emergency, the noise generated during the construction of Work No. 1 when measured at as close as practicable to the receptor OS Grid Reference 279980; 381977 must not, in onshore wind weather conditions, exceed 50 dB(A) Leq 1 hour between the hours of 2300 and 0700 when measured in accordance with British Standard BS5228:2009+A1:2014, 'Code of practice for noise and vibration control on construction and open sites'. Onshore wind weather conditions are when the receptor is downwind of the piling location by plus or minus 45 degrees.""]",2,Requirements,https://www.legislation.gov.uk/uksi/2023/1033/schedule/2/made,,
The Awel y Mor Offshore Wind Farm Order 2023,2023,1033,Stages of authorised development,5,"['The onshore works may not be commenced until notification has been submitted to the relevant planning authority detailing whether the onshore works will be constructed-', 'in a single stage; or', 'in two or more stages.', 'The onshore works may not be commenced until details of the stages of the onshore works have been submitted to and approved by the relevant planning authority.', 'The construction of the onshore works must follow the details provided under sub-paragraph (2) of this requirement.']",2,Requirements,https://www.legislation.gov.uk/uksi/2023/1033/schedule/2/made,,
The Awel y Mor Offshore Wind Farm Order 2023,2023,1033,Substation works,6,"['Construction of Work No. 31A must not commence until details of-', 'the layout;', 'scale;', 'proposed finished ground levels;', 'hard surfacing materials;', 'the dimensions, colour and materials used for the buildings;', 'security fencing;', 'vehicular and pedestrian access, parking and circulation areas; and', 'proposed and existing functional services above and below ground, including drainage, power and communications cables and pipelines, manholes and supports;', 'have been submitted to and approved by the relevant planning authority following consultation with Natural Resources Wales as appropriate.', 'The details submitted under sub-paragraph (1) of this requirement must be in accordance with requirement 7 (detailed design parameters onshore) and substantially in accordance with the design principles document.', 'Work No. 31A must be carried out in accordance with the approved details.']",2,Requirements,https://www.legislation.gov.uk/uksi/2023/1033/schedule/2/made,,
The Awel y Mor Offshore Wind Farm Order 2023,2023,1033,Detailed design parameters onshore,7,"['The onshore works must not exceed the parameters assessed in the environmental statement and set out in Table 4 and sub-paragraph (2).', 'In relation to Work No. 31A-', 'if air insulated switchgear is installed-', 'the highest part of any reactive compensation building must not exceed 41.675m above Ordnance Datum and the highest part of any other building must not exceed 40.675m above Ordnance Datum;', 'the highest part of any external electrical equipment or enclosure, excluding lightning rods, must not exceed 46.675m above Ordnance Datum;', 'the total area of the fenced compound (excluding its accesses) must not exceed 50,000m2;', 'the total number of lightning rods within the fenced compound area must not exceed 12 and the height of any lightning rod must not exceed 52.2m above Ordnance Datum;', 'if gas insulated switchgear is installed-', 'the highest part of the main gas insulated switchgear substation building must not exceed 49.975m above Ordnance Datum;', 'the highest part of any reactive compensation building must not exceed 42.475m above Ordnance Datum and subject to sub-paragraph (i) the highest part of any other building must not exceed 41.475m above Ordnance Datum;', 'the highest part of any external electrical equipment or enclosure, excluding lightning rods, must not exceed 47.475m above Ordnance Datum;', 'the total area of the fenced compound (excluding its accesses) must not exceed 30,000m2; and', 'the total number of lightning rods within the fenced compound area must not exceed 12 and the height of any lightning rod must not exceed 53m above Ordnance Datum.', 'Trenchless installation techniques must be used to install the cable ducts and electrical circuits where identified in the crossings schedule for the purpose of passing under a relevant obstruction unless otherwise agreed by the relevant planning authority, following consultation with the relevant drainage boards, Natural Resources Wales and the highways authority.', 'In this requirement ""reactive compensation building"" means any building housing electrical compensation equipment for Work No 31A.']",2,Requirements,https://www.legislation.gov.uk/uksi/2023/1033/schedule/2/made,,
The Awel y Mor Offshore Wind Farm Order 2023,2023,1033,Provision of landscaping,8,"['Work No. 31A must not be commenced until a written landscaping scheme and associated work programme in accordance with the outline landscape and ecology management plan for Work No. 31A has been submitted to and approved by the relevant planning authority following consultation with Natural Resources Wales as appropriate.', 'The written landscaping scheme must include details of all proposed hard and soft landscaping works including-', 'location, number, species, size and planting density of any proposed planting including any trees; and', 'implementation timetables for all landscaping works.', 'The written landscaping scheme and associated work programme must be carried out in accordance with the approved details.']",2,Requirements,https://www.legislation.gov.uk/uksi/2023/1033/schedule/2/made,,
The Awel y Mor Offshore Wind Farm Order 2023,2023,1033,Implementation and maintenance of landscaping,9,"['All landscaping works must be carried out in accordance with the landscaping scheme approved under requirement 8 (provision of landscaping).', 'Any tree or shrub planted as part of an approved landscaping scheme that, within a period of five years after planting, is removed, dies or becomes, in the opinion of the relevant planning authority, seriously damaged or diseased must be replaced in the first available planting season with a specimen of the same species and size as that originally planted unless a different species is otherwise agreed with the relevant planning authority.']",2,Requirements,https://www.legislation.gov.uk/uksi/2023/1033/schedule/2/made,,
The Awel y Mor Offshore Wind Farm Order 2023,2023,1033,Code of construction practice,10,"['No stage of the onshore works may commence until for that stage a code of construction practice has been submitted to and approved by the relevant planning authority in consultation with the highway authority as appropriate following consultation with Natural Resources Wales as appropriate and in relation to sub-paragraph (2)(d) the Welsh Ministers.', 'The code of construction practice must accord with the outline code of construction practice and include, as appropriate to the relevant stage-', 'construction method statement;', 'noise and vibration management plan;', 'air quality management plan;', 'soil management plan;', 'site waste management plan;', 'pollution prevention and emergency incident response plan;', 'construction traffic management plan;', 'public access management plan;', 'travel plan;', 'artificial light emissions plan;', 'invasive non-native species management plan; and', 'construction communications plan.', 'The code of construction practice approved in relation to the relevant stage of the onshore works must be followed in relation to that stage of the onshore works.', 'Pre-commencement works must only take place in accordance with the relevant details set out in the outline code of construction practice as certified.']",2,Requirements,https://www.legislation.gov.uk/uksi/2023/1033/schedule/2/made,,
The Awel y Mor Offshore Wind Farm Order 2023,2023,1033,Highway accesses,11,"['No new permanent means of access to a highway to be used by vehicular traffic, or any permanent alteration to an existing means of access to a highway used by vehicular traffic may be formed until written details of the design, layout and siting of that new or altered access have been submitted to and approved by the relevant planning authority in consultation with the highway authority.', 'The highway accesses must be constructed in accordance with the approved details.']",2,Requirements,https://www.legislation.gov.uk/uksi/2023/1033/schedule/2/made,,
The Awel y Mor Offshore Wind Farm Order 2023,2023,1033,Onshore archaeology,12,"['No stage of the onshore works may commence until for that stage an archaeological written scheme of investigation in accordance with the onshore WSI as appropriate for the relevant stage has been submitted to and approved by the relevant planning authority.', 'The onshore works must be carried out in accordance with the approved details.', 'Pre-commencement surveys and investigations, including those necessary to allow production of any scheme required under sub-paragraph (1) must only take place in accordance with the applicable details set out in the onshore WSI.']",2,Requirements,https://www.legislation.gov.uk/uksi/2023/1033/schedule/2/made,,
The Awel y Mor Offshore Wind Farm Order 2023,2023,1033,Landscape and Ecology management plan,13,"['No stage of the onshore works may commence until for that stage a written landscape and ecology management plan in accordance with the outline landscape and ecology management plan as appropriate for the relevant stage, has, following consultation with Natural Resources Wales, been submitted to and approved by the relevant planning authority.', 'The landscape and ecology management plan(s) submitted under sub-paragraph (1) must include an implementation timetable and must be implemented as approved.', 'Pre-commencement works must only take place in accordance with the relevant details set out in the outline landscape and ecology management plan as certified.']",2,Requirements,https://www.legislation.gov.uk/uksi/2023/1033/schedule/2/made,,
The Awel y Mor Offshore Wind Farm Order 2023,2023,1033,European protected species onshore,14,"['No stage of the onshore works other than surveying and investigation necessary to comply with this requirement may be undertaken until, for that stage, pre-construction survey work has been carried out to establish whether a European protected species or nationally protected species under the Wildlife and Countryside Act 1981 is present on any of the land affected, or likely to be affected, by any part of that stage of the onshore works.', 'Where a European protected species or nationally protected species under the Wildlife and Countryside Act 1981 is shown to be present, the stage of the onshore works likely to affect the species must not commence until, after consultation with Natural Resources Wales, a scheme of protection and mitigation measures for that stage has been submitted to and approved by the relevant planning authority.', 'Each stage of the onshore works which requires a scheme of protection and mitigation measures in accordance with sub-paragraph (2) of this requirement must be carried out in accordance with the approved scheme.', 'In this paragraph, ""European protected species"" has the same meaning as in regulations 42 (European protected species of animals) and 46 (European protected species of plants) of the Conservation of Habitats and Species Regulations 2017.', 'In this paragraph, ""nationally protected species"" means any species protected under the Wildlife and Countryside Act 1981.']",2,Requirements,https://www.legislation.gov.uk/uksi/2023/1033/schedule/2/made,,
The Awel y Mor Offshore Wind Farm Order 2023,2023,1033,Construction hours,15,"['Except as otherwise agreed in the code of construction practice and subject to sub-paragraphs (2) to (4), construction of the onshore works and construction-related traffic movements to or from the site of the relevant work may take place only between the hours of 0700 and 1900 from Monday to Friday and 0700 and 1300 on Saturdays, with no activity on Sundays or bank holidays.', 'If agreed in advance with the relevant planning authority, construction of the onshore works and construction-related traffic movements to or from the site of the relevant work may take place outside the hours specified in sub-paragraph (1) for certain identified works including-', 'where continuous periods of construction are required, for works such as concrete pouring and finishing, electrical circuit pulling and jointing and testing;', 'for the delivery and unloading of abnormal loads;', 'for the landfall works; and', 'for any other time-critical element of the onshore works.', 'Except as provided in sub-paragraph (4), all construction works which are to be undertaken outside the hours specified in sub-paragraph (1) must be agreed in advance with the relevant planning authority.', 'In respect of trenchless installation techniques where continuous 24-hour working has been assessed in the environmental statement, the undertaker must notify the relevant planning authority in advance of such works.']",2,Requirements,https://www.legislation.gov.uk/uksi/2023/1033/schedule/2/made,,
The Awel y Mor Offshore Wind Farm Order 2023,2023,1033,Surface and foul water drainage,16,"['Work Nos. 31 and 31A must not commence until, for that numbered work, a written surface and foul water drainage plan (including details of any watercourse crossings and proposals for management and maintenance) has, following consultation with Natural Resources Wales, been submitted to and approved by the relevant planning authority. The surface and foul water drainage plan must be substantially in accordance with the principles set out in the outline drainage strategy.', 'The surface and foul water drainage plan must be implemented in accordance with the approved details, prior to final commissioning of Work No. 31A.']",2,Requirements,https://www.legislation.gov.uk/uksi/2023/1033/schedule/2/made,,
The Awel y Mor Offshore Wind Farm Order 2023,2023,1033,Restoration of land used temporarily for construction,17,['Any land landward of MLWS which is used temporarily for construction of the onshore works and not ultimately incorporated in permanent works or approved landscaping must be reinstated within six months of completion of the relevant stage of the onshore works in accordance with details submitted to and approved by the relevant planning authority under requirement 10 (code of construction practice).'],2,Requirements,https://www.legislation.gov.uk/uksi/2023/1033/schedule/2/made,,
The Awel y Mor Offshore Wind Farm Order 2023,2023,1033,Control of noise during operational stage,18,"['The noise rating level for the operation of Work No. 31A must not exceed the following levels at a position representative of the faade, in free-field conditions, of, any building authorised or lawfully occupied for residential or accommodation purposes at the date of the granting of this Order, at each of the representative locations set out in (a) to (d) below:', '36 dB LAr,Tr at Gwelfryn (OS: 300654, 373889) or other nearby residential properties on Glascoed Road to the south west of Work No. 31A;', '36 dB LAr,Tr at Caer Delyn (OS 301339, 373960) or other nearby residential properties on Glascoed Road to the south east of Work No. 31A;', '39 dB LAr,Tr at Bodelwyddan Castle Hotel (OS 299967, 374819) or other nearby residential properties to the west of Work No. 31A; and', '41 dB LAr,Tr at Faenol Bropor (OS 301298, 374784) or other nearby residential properties to the north of Work No. 31A.', 'The noise levels set out in sub-paragraph (1) are to be measured:', 'in accordance with British Standard BS4142:2014+A1:2019, Methods for rating and assessing industrial and commercial sound; and', 'with a microphone placed at least 1.5 m above the ground in free-field conditions (being at least 3.5 m from the nearest vertical reflecting surface).', 'In the event of a complaint to the relevant planning authority relating to noise emissions from the operation of Work No. 31A which may reasonably be expected to result in levels above those allowed by paragraph (1)-', 'the undertaker must submit a proposed measurement and assessment procedure, based on the guidance and assessment methodology outlined in BS4142:2014, including a proposed measurement methodology and monitoring locations and the timings for the assessment and reporting to the relevant planning authority for approval; and', 'measurements must be undertaken in accordance with the approved procedure by an independent consultant appointed by the undertaker in order to determine compliance or otherwise with paragraph (1).']",2,Requirements,https://www.legislation.gov.uk/uksi/2023/1033/schedule/2/made,,
The Awel y Mor Offshore Wind Farm Order 2023,2023,1033,Control of operational artificial light emissions,19,"['Work No. 31A and Work No. 33(c) must not be brought into operation until a written scheme for the management and mitigation of internal and external artificial light emissions from Work No. 31A and Work No.33(c) has been submitted to and approved by the relevant planning authority.', 'The approved scheme for the management and mitigation of artificial light emissions must be implemented and maintained during the lifetime of Work No. 31A and Work No. 33(c).']",2,Requirements,https://www.legislation.gov.uk/uksi/2023/1033/schedule/2/made,,
The Awel y Mor Offshore Wind Farm Order 2023,2023,1033,Skills and Employment Strategy,20,"['No stage of the authorised development may commence until a skills and employment strategy, substantially in accordance with the outline skills and employment strategy has been submitted to and approved by the relevant planning authority.', 'The skills and employment strategy must be implemented in accordance with the approved details.']",2,Requirements,https://www.legislation.gov.uk/uksi/2023/1033/schedule/2/made,,
The Awel y Mor Offshore Wind Farm Order 2023,2023,1033,Offshore decommissioning,21,['No offshore works may commence until a written decommissioning programme in compliance with any notice served upon the undertaker by the Secretary of State pursuant to section 105(2) (requirement to prepare decommissioning programmes) of the 2004 Act has been submitted to the Secretary of State for approval.'],2,Requirements,https://www.legislation.gov.uk/uksi/2023/1033/schedule/2/made,,
The Awel y Mor Offshore Wind Farm Order 2023,2023,1033,Onshore decommissioning,22,"['A written scheme of decommissioning for the onshore works must be submitted to and approved by the relevant planning authority at least six months prior to any decommissioning works commencing.', 'The written scheme of decommissioning for the onshore works must include a code of construction practice and the approved scheme must be implemented as approved in the carrying out of any decommissioning works or relevant part of it.']",2,Requirements,https://www.legislation.gov.uk/uksi/2023/1033/schedule/2/made,,
The Awel y Mor Offshore Wind Farm Order 2023,2023,1033,Great Dun Fell and St Annes Primary Radar Mitigation Scheme,23,"['No part of any wind turbine generator (excluding foundations) shall be erected as part of the authorised development until a primary radar mitigation scheme agreed in advance with the operator has been submitted to and approved in writing by the Secretary of State in order to mitigate the impact of the authorised development on the primary radar of the operator located at Great Dun Fell and St Annes and associated air traffic management operations.', 'No part of any wind turbine generator (excluding foundations) shall be erected until the approved primary radar mitigation scheme has been implemented and the authorised development shall thereafter be operated fully in accordance with the approved scheme.', 'In this requirement-', '""operator"" means NATS (En Route) plc, incorporated under the Companies Act (Company Number 4129273) whose registered office is 4000 Parkway, Whiteley, Fareham, Hampshire PO15 7FL or such other organisation licensed from time to time under sections 5 and 6 of the Transport Act 2000 to provide air traffic services to the relevant managed area (within the meaning of section 40 of the Transport Act); and', '""primary radar mitigation scheme"" or ""scheme"" means a detailed scheme agreed with the operator which sets out the measures to be taken to mitigate the impact of the development on the primary radar located at Great Dun Fell and St Annes and air traffic management operations of the operator.']",2,Requirements,https://www.legislation.gov.uk/uksi/2023/1033/schedule/2/made,,
The Awel y Mor Offshore Wind Farm Order 2023,2023,1033,Landscape enhancement scheme,24,"['Work No. 1 must not be commenced until a scheme for the provision of landscape enhancement in accordance with the landscape enhancement scheme principles document has been submitted to and approved by the relevant planning authority following consultation with Natural Resources Wales, the Isle of Anglesey County Council, Eryri National Park Authority and Conwy County Borough Council.', 'The landscape enhancement scheme shall set out appropriate measures to compensate for the impact of the authorised development on the protected landscapes of Eryri National Park, the Isle of Anglesey Area of Outstanding Natural Beauty (including Anglesey Heritage Coast) and Great Orme Heritage Coast.', 'The landscape enhancement scheme shall be implemented as approved.', 'In this requirement ""landscape enhancement scheme principles document"" means the document certified as such by the Secretary of State under article 40.']",2,Requirements,https://www.legislation.gov.uk/uksi/2023/1033/schedule/2/made,,
The Awel y Mor Offshore Wind Farm Order 2023,2023,1033,Wake effects,25,"['No part of any wind turbine generator shall be erected as part of the authorised development until an assessment of any wake effects and subsequent design provisions to mitigate any such identified effects as far as possible has been submitted to and approved in writing by the Secretary of State, in order to mitigate the impact of the authorised development on the energy generation of Rhyl Flats Wind Farm. The assessment must be based on the scope of this Order as granted.', 'The authorised development shall be carried out in accordance with the approved details.']",2,Requirements,https://www.legislation.gov.uk/uksi/2023/1033/schedule/2/made,,
The Awel y Mor Offshore Wind Farm Order 2023,2023,1033,Requirement for written approval,26,"['Where under any of the above requirements the approval or agreement of the Secretary of State, the relevant planning authority or another person is required, that approval or agreement must be given in writing.']",2,Requirements,https://www.legislation.gov.uk/uksi/2023/1033/schedule/2/made,,
The Awel y Mor Offshore Wind Farm Order 2023,2023,1033,Amendments to approved details,27,"['With respect to any requirement which requires the authorised development to be carried out in accordance with the details approved by the relevant planning authority or another organisation or body, the approved details must be carried out as approved unless an amendment or variation is previously agreed by the relevant planning authority or that other organisation or body in accordance with sub-paragraph (2).', 'Any amendments to or variations from the approved details must be in accordance with the principles and assessments set out in the environmental statement. Such agreement may only be given in relation to immaterial changes where it has been demonstrated to the satisfaction of the relevant planning authority or that other organisation or body that the subject matter of the agreement sought is unlikely to give rise to any materially greater environmental effects from those assessed in the environmental statement.', 'The approved details must be taken to include any amendments that may subsequently be approved by the relevant planning authority or that other person.']",2,Requirements,https://www.legislation.gov.uk/uksi/2023/1033/schedule/2/made,,
The Awel y Mor Offshore Wind Farm Order 2023,2023,1033,,1,['The provisions of this Part have effect unless otherwise agreed in writing between the undertaker and the utility undertaker in question.'],9,Protective provisions,https://www.legislation.gov.uk/uksi/2023/1033/schedule/9/part/1/made,PART 1,"Protection for electricity, gas, water and sewerage undertakers"
The Awel y Mor Offshore Wind Farm Order 2023,2023,1033,,2,"['In this Part-', '""alternative apparatus"" means alternative apparatus adequate to enable the utility undertaker in question to fulfil its statutory functions in a manner no less efficient than previously;', '""apparatus"" means-', 'in the case of a utility undertaker within paragraph (a) of the definition of that term, electric lines or electrical plant (as defined in the Electricity Act 1989, belonging to or maintained by that licence holder;', 'in the case of a utility undertaker within paragraph (b) of the definition of that term, any mains, pipes or other apparatus belonging to or maintained by that gas transporter within the meaning of Part 1 of the Gas Act 1986 for the purposes of gas supply;', 'in the case of a utility undertaker within paragraph (c) of the definition of that term, mains, pipes or other apparatus belonging to or maintained by that water undertaker for the purposes of water supply; and', 'in the case of a utility undertaker within paragraph (d) of the definition of that term-', 'any drain or works vested in the sewerage undertaker under the Water Industry Act 1991; and', 'any sewer which is so vested or is the subject of a notice of intention to adopt given under section 102(4) (adoption of sewers and disposal works) of that Act or an agreement to adopt made under section 104 (agreements to adopt sewer, drain or sewerage disposal works, at future date) of that Act,', 'and includes a sludge main, disposal main (within the meaning of section 219 (general interpretation) of that Act) or sewer outfall and any manholes, ventilating shafts, pumps or other accessories forming part of any such sewer, drain or works, and includes any structure in which apparatus is or is to be lodged or which gives or will give access to apparatus;', '""functions"" includes powers and duties;', '""in"" in a context referring to apparatus or alternative apparatus in land includes a reference to apparatus or alternative apparatus under, over or upon land;', '""plan"" includes all designs, drawings, specifications, method statements, soil reports, programmes, calculations, risk assessments and other documents that are reasonably necessary properly and sufficiently to describe the works to be executed; and', '""utility undertaker"" means-', 'any licence holder within the meaning of Part 1 of the Electricity Act 1989;', 'a gas transporter within the meaning of Part 1 of the Gas Act 1986;', 'a water undertaker within the meaning of the Water Industry Act 1991; and', 'a sewerage undertaker within the meaning of Part 1 of the Water Industry Act 1991,', 'for the area of the onshore works, and in relation to any apparatus, means the utility undertaker to whom it belongs or by whom it is maintained.']",9,Protective provisions,https://www.legislation.gov.uk/uksi/2023/1033/schedule/9/part/1/made,PART 1,"Protection for electricity, gas, water and sewerage undertakers"
The Awel y Mor Offshore Wind Farm Order 2023,2023,1033,On street apparatus and offshore works,3,"['This Part does not apply to-', 'apparatus in respect of which the relations between the undertaker and the utility undertaker are regulated by the provisions of Part 3 (street works in England and Wales) of the 1991 Act; and', 'the offshore works.']",9,Protective provisions,https://www.legislation.gov.uk/uksi/2023/1033/schedule/9/part/1/made,PART 1,"Protection for electricity, gas, water and sewerage undertakers"
The Awel y Mor Offshore Wind Farm Order 2023,2023,1033,Acquisition of land,4,"['Regardless of any provision of this Order or anything shown on the land plans, the undertaker must not acquire any apparatus otherwise than by agreement.']",9,Protective provisions,https://www.legislation.gov.uk/uksi/2023/1033/schedule/9/part/1/made,PART 1,"Protection for electricity, gas, water and sewerage undertakers"
The Awel y Mor Offshore Wind Farm Order 2023,2023,1033,Removal of apparatus,5,"[""If, in the exercise of the powers conferred by this Order, the undertaker acquires any interest in any land in which any apparatus is placed or requires that the utility undertaker's apparatus is relocated or diverted, that apparatus must not be removed under this Part, and any right of a utility undertaker to maintain that apparatus in that land must not be extinguished until alternative apparatus has been constructed and is in operation to the reasonable satisfaction of the utility undertaker in question."", ""If, for the purpose of executing any works in, on or under any land purchased, held, appropriated or used under this Order, the undertaker requires the removal of any apparatus placed in that land, the undertaker must give to the utility undertaker in question 28 days' written notice of that requirement, together with a plan of the work proposed, and of the proposed position of the alternative apparatus to be provided or constructed; and in that case (or if in consequence of the exercise of any of the powers conferred by this Order a utility undertaker reasonably needs to remove any of its apparatus) the undertaker must, subject to sub-paragraph (3), afford to the utility undertaker the necessary facilities and rights for the construction of alternative apparatus in other land of the undertaker and subsequently for the maintenance of that apparatus."", 'If alternative apparatus or any part of such apparatus is to be constructed elsewhere than in other land of the undertaker, or the undertaker is unable to afford such facilities and rights as are mentioned in sub-paragraph (2) in the land in which the alternative apparatus or part of such apparatus is to be constructed, the utility undertaker in question must, on receipt of a written notice to that effect from the undertaker, as soon as reasonably possible use reasonable endeavours to obtain the necessary facilities and rights in the land in which the alternative apparatus is to be constructed.', 'Any alternative apparatus to be constructed in land of the undertaker under this Part must be constructed in such manner and in such line or situation as may be agreed between the utility undertaker in question and the undertaker or in default of agreement settled by arbitration in accordance with article 44 (arbitration).', 'The utility undertaker in question must, after the alternative apparatus to be provided or constructed has been agreed or settled by arbitration in accordance with article 44 (arbitration), and after the grant to the utility undertaker of any such facilities and rights as are referred to in sub-paragraph (2) or (3), proceed without unnecessary delay to construct and bring into operation the alternative apparatus and subsequently to remove any apparatus required by the undertaker to be removed under the provisions of this Part.', 'Regardless of anything in sub-paragraph (5), if the undertaker gives notice in writing to the utility undertaker in question that the undertaker desires itself to execute any work, or part of any work, in connection with the construction or removal of apparatus in any land of the undertaker, that work, instead of being executed by the utility undertaker, must be executed by the undertaker without unnecessary delay under the superintendence, if given, and to the reasonable satisfaction of the utility undertaker.', 'Nothing in sub-paragraph (6) authorises the undertaker to execute the placing, installation, bedding, packing, removal, connection or disconnection of any apparatus, or execute any filling around the apparatus (where the apparatus is laid in a trench) within 300 millimetres of the apparatus.']",9,Protective provisions,https://www.legislation.gov.uk/uksi/2023/1033/schedule/9/part/1/made,PART 1,"Protection for electricity, gas, water and sewerage undertakers"
The Awel y Mor Offshore Wind Farm Order 2023,2023,1033,Facilities and rights for alternative apparatus,6,"['Where, in accordance with the provisions of this Part, the undertaker affords to a utility undertaker facilities and rights for the construction and maintenance in land of the undertaker of alternative apparatus in substitution for apparatus to be removed, those facilities and rights must be granted upon such terms and conditions as may be agreed between the undertaker and the utility undertaker in question or in default of agreement settled by arbitration in accordance with article 44 (arbitration).', 'In settling those terms and conditions in respect of alternative apparatus to be constructed in or along the authorised development, the arbitrator must-', 'give effect to all reasonable requirements of the undertaker for ensuring the safety and efficient operation of the authorised development and for securing any subsequent alterations or adaptations of the alternative apparatus that may be required to prevent interference with any proposed works of the undertaker; and', 'so far as it may be reasonable and practicable to do so in the circumstances of the particular case, give effect to the terms and conditions, if any, applicable to the apparatus constructed in or along the authorised project for which the alternative apparatus is to be substituted.', 'If the facilities and rights to be afforded by the undertaker in respect of any alternative apparatus, and the terms and conditions subject to which those facilities and rights are to be granted, are in the opinion of the arbitrator less favourable on the whole to the utility undertaker in question than the facilities and rights enjoyed by it in respect of the apparatus to be removed and the terms and conditions to which those facilities and rights are subject, the arbitrator must make such provision for the payment of compensation by the undertaker to that utility undertaker as appears to the arbitrator to be reasonable having regard to all the circumstances of the particular case.']",9,Protective provisions,https://www.legislation.gov.uk/uksi/2023/1033/schedule/9/part/1/made,PART 1,"Protection for electricity, gas, water and sewerage undertakers"
The Awel y Mor Offshore Wind Farm Order 2023,2023,1033,Retained apparatus,7,"['Not less than 28 days before starting the execution of any works in, on or under any land purchased, held, appropriated or used under this Order that are near to, or will or may affect, any apparatus the removal of which has not been required by the undertaker under paragraph 5(2), the undertaker must submit to the utility undertaker in question a plan of the works to be executed.', 'Those works must be executed only in accordance with the plan submitted under sub-paragraph (1) and in accordance with such reasonable requirements as may be made in accordance with sub-paragraph (3) by the utility undertaker for the alteration or otherwise for the protection of the apparatus, or for securing access to it, and the utility undertaker is entitled to watch and inspect the execution of those works.', 'Any requirements made by a utility undertaker under sub-paragraph (2) must be made within a period of 21 days beginning with the date on which a plan under sub-paragraph (is submitted to it.', 'If a utility undertaker, in accordance with sub-paragraph (3) and in consequence of the works proposed by the undertaker, reasonably requires the removal of any apparatus and gives written notice to the undertaker of that requirement, the provisions of this Part apply as if the removal of the apparatus had been required by the undertaker under paragraph 5(2).', 'Nothing in this paragraph precludes the undertaker from submitting at any time or from time to time, but in no case less than 28 days before commencing the execution of any works, a new plan instead of the plan previously submitted, and having done so the provisions of this paragraph apply to and in respect of the new plan.', 'The undertaker is not required to comply with sub-paragraph (1) in a case of emergency but in that case it must give to the utility undertaker in question notice as soon as is reasonably practicable and a plan of those works as soon as reasonably practicable subsequently and must comply with sub-paragraph (2) in so far as is reasonably practicable in the circumstances.']",9,Protective provisions,https://www.legislation.gov.uk/uksi/2023/1033/schedule/9/part/1/made,PART 1,"Protection for electricity, gas, water and sewerage undertakers"
